510,20%,20-99,上海艾策通讯科技股份有限公司,1-3,06-07,JAVA软件开发工程师,成都,6001-8000,本科,民营
511,67%,100-499,北京羽乐创新科技有限公司,1-3,06-07,数据运营专员/数据采集专员（五险一金+年底双薪+成长空间）,北京,4000-5000,大专,股份制企业
512,20%,20-99,尚品云智(北京)信息技术有限公司,1-3,06-07,PHP开发经理,北京,20001-30000,不限,民营
513,20%,100-499,深圳中泓在线股份有限公司,3-5,06-07,Spider高级研发工程师,深圳,20001-30000,本科,股份制企业
514,20%,1000-9999,珠海市魅族科技有限公司,3-5,06-07,高级Java开发工程师（海外业务）,深圳,15000-25000,不限,民营
515,100%,100-499,北京奇酷方舟信息技术有限公司,3-5,06-07,Python人工智能/程序员【带薪年假 提供住宿】,郑州,6001-8000,大专,民营
516,95%,100-499,深圳市同道大叔文化传播有限公司,3-5,06-07,java高级开发工程师,深圳,12000-24000,本科,民营
517,20%,20-99,北京凯峰数据科技有限公司,5-10,06-07,架构师,北京,28000-42000,本科,民营
518,20%,100-499,北京智慧星光信息技术有限公司,3-5,06-07,数据采集经理,北京,10000-18000,本科,民营
519,20%,500-999,北京博奥晶典生物技术有限公司,1-3,06-07,采集专员,济南,4001-6000,不限,国企
520,20%,1000-9999,厦门市美亚柏科信息股份有限公司,3-5,06-07,JAVA研发工程师（WEB研发方向）,厦门,8000-16000,本科,上市公司
521,20%,20-99,天津易博达动力科技有限公司,3-5,06-07,JAVA开发工程师-大数据方向,天津,8001-10000,本科,民营
522,20%,100-499,易第优（北京）教育咨询股份有限公司,3-5,06-07,Python讲师,北京,15001-20000,本科,民营
523,67%,100-499,博易智软(上海)信息技术有限公司,1-3,06-07,Python开发工程师,上海,15001-20000,本科,上市公司
524,20%,20,广州美范信息科技有限公司,1-3,06-07,大数据开发工程师,广州,8000-16000,大专,民营
525,20%,100-499,网娱互动科技(北京)股份有限公司,1-3,06-07,java开发工程师,北京,8001-10000,大专,民营
526,20%,20-99,厦门联图网络科技有限公司,1-3,06-07,PHP高级开发工程师,厦门,10000-15000,不限,民营
527,20%,20-99,深圳市天马资产管理有限公司,3-5,06-07,数据挖掘工程师,深圳,15001-20000,本科,民营
528,20%,100-499,北京智慧星光信息技术有限公司,3-5,06-07,采集工程师（python）,北京,4000-6000,本科,民营
529,100%,100-499,河南奇酷信息技术有限公司,3-5,06-07,python大数据软件开发/程序员【可无经验 提供住宿】,郑州,6001-8000,大专,民营
530,20%,20-99,北京中复康养老服务股份有限公司,5-10,06-07,高级java工程师,北京,18000-25000,本科,股份制企业
531,50%,20-99,"苏州,网络科技有限公司",5-10,06-07,行政人事兼总经理助理,昆山,2001-4000,大专,民营
532,20%,20,上海问之信息科技有限公司,3-5,06-06,语义算法工程师,上海,20000-40000,本科,民营
533,100%,20-99,南京驰宇教育科技有限公司苏州分公司,1-3,06-06,SEO网络优化/网络推广/关键词排名,南京,4001-6000,大专,民营
534,96%,100-499,西安万家灯火信息技术有限公司,1-3,06-06,SEO专员,西安,4001-6000,大专,民营
535,20%,100-499,北青传媒股份有限公司,5-10,06-06,广告部新媒体发展部-后台系统架构师,北京,18000-25000,本科,合资
536,20%,500-999,方欣科技有限公司,5-10,06-06,大数据产品总监-大数据事业部,广州,25000-40000,本科,民营
537,94%,1000-9999,上海梭丽文化传播有限公司,1-3,06-06,新媒体编辑,上海,4000-7000,大专,民营
538,20%,100-499,鹏元征信有限公司,1-3,06-06,测试工程师,深圳,8000-15000,本科,民营
539,20%,100-499,成都市映潮科技股份有限公司,1-3,06-06,数据采集工程师,成都,6001-8000,大专,上市公司
540,20%,1000-9999,北京思特奇信息技术股份有限公司,1-3,06-06,大数据业务部门_Java开发工程师,广州,8000-10000,本科,上市公司
541,20%,100-499,北京奇酷方舟信息技术有限公司郑州分公司,1-3,06-06,python开发/ Python数据工程师【零基础 带薪实习】,郑州,6001-8000,大专,民营
542,20%,1000-9999,南京华苏科技有限公司,1-3,06-06,Java开发工程师,北京,10001-15000,大专,民营
543,100%,100-499,广州市古哩古哩电子商务有限公司,3-5,06-06,Python开发工程师,广州,10001-15000,大专,其它
544,78%,100-499,广州市古哩古哩电子商务有限公司,1-3,06-06,Python开发工程师,广州,20001-30000,大专,其它
545,75%,100-499,北京羽乐创新科技有限公司,1-3,06-06,数据采集模板配置专员（电话邦）,北京,4001-6000,大专,股份制企业
546,67%,100-499,广州市古哩古哩电子商务有限公司,1-3,06-06,Python开发工程师,广州,20001-30000,本科,其它
547,67%,100-499,广州市古哩古哩电子商务有限公司,1-3,06-06,Python开发工程师,广州,20001-30000,本科,其它
548,50%,20-99,成都如丽网络科技有限公司,1-3,06-06,SEO,成都,4001-6000,大专,民营
550,20%,1000-9999,北京超图信息技术有限公司,1-3,06-06,python开发工程师,北京,8001-10000,本科,股份制企业
551,20%,100-499,成都温江圣母妇产医院有限公司,1-3,06-06,网络运营主管,成都,4001-6000,不限,民营
552,20%,20-99,尚品云智(北京)信息技术有限公司,3-5,06-06,PHP开发经理/总监,北京,20000-40000,本科,民营
553,20%,20-99,北京阿博茨科技有限公司,3-5,06-06,大数据编辑,武汉,4000-5000,大专,民营
554,100%,100-499,小斑马科技(天津)有限公司,3-5,06-06,Python,天津,8000-16000,本科,民营
555,20%,100-499,华融消费金融股份有限公司,3-5,06-06,大数据开发工程师,北京,20000-40000,本科,股份制企业
556,56%,20-99,武汉乐摩网科技有限公司,3-5,06-06,高级PHP开发工程师,武汉,9000-15000,本科,民营
557,20%,100-499,江苏志愿无忧教育咨询有限公司,1-3,06-06,数据工程师,南京,4001-6000,本科,民营
558,20%,500-999,北京泰豪电力科技有限公司,3-5,06-06,产品经理（搜索引擎）,上海,20001-30000,本科,股份制企业
559,20%,20-99,深圳市百诺信科技有限公司,3-5,06-06,Python高级开发工程师,广州,15001-20000,不限,民营
560,20%,1000-9999,拓维信息系统股份有限公司,3-5,06-06,技术架构师（大数据方向）,北京,15001-20000,本科,上市公司
561,20%,100-499,北京紫马财行投资管理有限公司,3-5,06-06,JAVA开发工程师（高级）,北京,15001-20000,本科,民营
562,20%,1000-9999,汇通达网络股份有限公司,3-5,06-06,大数据开发工程师,南京,15000-25000,本科,民营
563,20%,1000-9999,中国信义集团 ,3-5,06-06,.net高级开发工程师,上海,8001-10000,大专,外商独资
564,20%,100-499,北京华如科技股份有限公司,3-5,06-06,数据挖掘工程师,北京,8001-10000,本科,民营
565,20%,20-99,北京炫世纪文化发展有限公司,3-5,06-06,Java软件工程师,北京,10001-15000,本科,民营
566,20%,100-499,深圳市极兵城电子商务有限公司,1-3,06-06,数据分析员 统计专员,深圳,6001-8000,大专,民营
567,20%,5-10,北京艾信运通技术有限公司,1-3,06-06,JAVA高级工程师,北京,20001-30000,本科,民营
568,20%,1000-9999,中兴软创科技股份有限公司,1-3,06-06,大数据开发工程师（政企行业经营一部）,南京,10001-15000,不限,合资
569,20%,100-499,北京开卷信息技术有限公司,1-3,06-06,高级数据采集工程师,北京,10001-15000,本科,民营
570,20%,100-499,北京开卷信息技术有限公司,1-3,06-06,.NET中级软件工程师,北京,8000-12000,本科,民营
571,20%,100-499,安徽省招标集团股份有限公司,1-3,06-06,.Net 数据挖掘工程师,合肥,10001-15000,本科,股份制企业
572,100%,20-99,汇联金科信息技术(北京)有限公司,1-3,06-05,数据采集工程师,北京,10001-15000,本科,民营
573,20%,100-499,北京支点国际资讯投资有限公司,5-10,06-05,技术经理,北京,20000-35000,本科,股份制企业
574,98%,100-499,河北中废通网络技术有限公司,1-3,06-05,数据采集工程师,石家庄,7000-10000,大专,民营
575,20%,100-499,北京天骄尚学教育咨询有限公司,1-3,06-05,数据工程师,南京,5000-10000,本科,民营
576,100%,20-99,珠海贝康泽恩健康管理有限公司,1-3,06-05,新媒体主管,珠海,5000-7000,本科,民营
577,77%,20-99,北京中科模识科技有限公司,1-3,06-05,软件开发工程师,北京,4001-6000,本科,股份制企业
578,20%,20,北京信宜网络科技有限公司,1-3,06-05,全栈工程师,北京,10000-20000,不限,民营
579,20%,100-499,凯信联合控股有限公司武汉分公司,1-3,06-05,Python开发工程师,武汉,8001-10000,本科,民营
580,20%,20-99,上海艾摩广告有限公司,1-3,06-05,开发工程师（可招应届生）,上海,10001-15000,本科,民营
581,20%,500-999,北大医疗信息技术有限公司,1-3,06-05,Python开发工程师,北京,10001-15000,本科,国企
582,20%,1000-9999,上海微创软件股份有限公司 ,1-3,06-05,区域运维技术支持-python后端运维工程师（杭州）,杭州,12000-13000,大专,合资
583,20%,20,营软数据(厦门)网络有限公司,1-3,06-05,solr搜索,厦门,10000-18000,不限,民营
584,20%,100-499,北京洋浦伟业科技发展有限公司,3-5,06-05,Python开发工程师,北京,13000-26000,不限,民营
585,20%,20-99,北京瑶瑶网络科技有限公司,3-5,06-05,资深JAVA工程师,北京,15001-20000,本科,民营
586,20%,20-99,济南东之林智能软件有限公司,5-10,06-05,大数据研发经理,济南,10001-15000,本科,民营
587,20%,100-499,长春同康大药房连锁股份有限公司,5-10,06-05,网站优化seo,长春,2001-4000,不限,股份制企业
588,20%,20-99,成都通园科技有限公司,5-10,06-05,java高级软件工程师,成都,8000-12000,大专,民营
589,76%,100-499,青岛高校信息产业股份有限公司,5-10,06-05,运维工程师-技术支持工程师,青岛,3500-5000,大专,股份制企业
590,20%,20,陕西凯石通数据分析有限公司,1-3,06-05,WEB前端开发,西安,6001-8000,本科,民营
591,20%,1000-9999,江苏中地控股集团有限公司,,06-05,大数据平台副总裁/总经理（大数据公司）,上海,80000-90000,本科,民营
592,20%,1000-9999,江苏中地控股集团有限公司,,06-05,大数据平台副总裁/总经理（大数据公司）,南京,80000-90000,本科,民营
593,20%,1000-9999,江苏中地控股集团有限公司,,06-05,大数据平台副总裁/总经理（大数据公司）,北京,80000-90000,本科,民营
594,20%,1000-9999,江苏中地控股集团有限公司,,06-05,大数据平台副总裁/总经理（大数据公司）,上海,80000-90000,本科,民营
595,70%,100-499,北京羽乐创新科技有限公司,1-3,06-05,python开发（数据爬取分析开发工程师）,北京,8000-16000,大专,股份制企业
596,20%,20-99,南京思想机器信息科技有限公司,1-3,06-05,python开发工程师,南京,5000-8000,不限,民营
597,20%,100-499,深圳前海九慧金服科技有限公司,3-5,06-05,JAVA高级工程师,深圳,8000-15000,本科,民营
598,20%,100-499,武汉华美生物工程有限公司,3-5,06-05,网站优化SEO主管,武汉,6001-8000,大专,民营
599,20%,100-499,北京英富森软件股份有限公司,1-3,06-05,JAVA高级开发工程师,杭州,6001-8000,大专,上市公司
600,20%,1000-9999,中企动力科技股份有限公司 ,5-10,06-05,高级Java开发工程师,北京,15000-25000,大专,股份制企业
601,20%,100-499,青岛聚品电子商务有限公司,1-3,06-05,大数据研发工程师,青岛,8000-15000,大专,民营
602,20%,100-499,上海文沥信息技术有限公司,5-10,06-05,系统架构师,上海,15000-30000,本科,股份制企业
603,20%,100-499,北京市东权律师事务所,1-3,06-05,研发工程师,北京,6000-10000,本科,其它
604,20%,1000-9999,马上消费金融股份有限公司,3-5,06-05,Risk-资深风控数据管理分析师-SZ/CQ,深圳,15000-25000,本科,股份制企业
605,20%,20-99,中新智擎科技有限公司,,06-05,研发部实习生/助理,深圳,2001-4000,本科,股份制企业
606,65%,20-99,上海大岂网络科技有限公司,1-3,06-05,资深Python开发工程师,上海,15000-30000,本科,外商独资
607,53%,100-499,北京中科联通科技有限责任公司,3-5,06-05,高级软件工程师（JAVA）,郑州,10001-15000,本科,民营
608,20%,100-499,北京东方亿思知识产权代理有限责任公司,3-5,06-05,研发工程师（.Net/C#）,北京,5000-10000,本科,民营
609,20%,20-99,上海卫诚企业征信有限公司,1-3,06-05,数据建模分析师,上海,15001-20000,硕士,合资
611,20%,20-99,北京东方科诺科技发展有限公司,,06-05,数据工程师,北京,10001-15000,不限,民营
612,20%,20-99,山东财兜信息科技有限公司,1-3,06-05,Python开发工程师,济南,6000-10000,本科,民营
613,100%,100-499,河南银谷时空网络科技有限公司,1-3,06-04,人工智能/机器人Python开发【零基础 带薪年假】,郑州,6001-8000,大专,股份制企业
614,86%,20-99,天津北洋新众人教育信息咨询服务有限公司,1-3,06-04,JAVA开发工程师,天津,30001-50000,不限,民营
615,20%,20-99,天津北洋新众人教育信息咨询服务有限公司,1-3,06-04,JAVA开发工程师,北京,30001-50000,不限,民营
616,20%,500-999,广州渠道拓展信息科技有限公司,1-3,06-03,SEO高级工程师,广州,4000-8000,大专,民营
617,97%,20-99,北京恒航医疗科技有限公司,1-3,06-03,网络推广人员,北京,4001-6000,不限,民营
618,50%,100-499,郑州泰达节能干燥设备有限公司,1-3,06-03,SEO优化专员,郑州,4001-6000,大专,民营
619,20%,1000-9999,玖富金科控股集团有限责任公司,1-3,06-02,产品经理（高级）,北京,15000-30000,本科,民营
620,58%,100-499,上海数奇投资管理有限公司,1-3,06-02,SEO,上海,10001-15000,不限,民营
621,20%,20-99,上海玩佳信息技术有限公司,1-3,06-02,互联网软件开发工程师,上海,8001-10000,本科,民营
622,67%,20-99,陕西必达网络科技有限公司,3-5,06-02,SEO,西安,6001-8000,不限,合资
623,62%,20-99,成都五舟汉云科技有限公司,1-3,06-02,ETL工程师/大数据开发工程师,成都,5000-8000,本科,民营
624,20%,1000-9999,成都市全友家私销售有限公司,1-3,06-02,数据分析师,成都,2001-4000,本科,民营
625,20%,1000-9999,百度在线网络技术(北京)有限公司上海软件技术分公司,1-3,06-02,Phthon工程师（互联网信息采集）,上海,10001-15000,不限,上市公司
626,67%,100-499,深圳狗尾草智能科技有限公司,5-10,06-02,大数据分析师  数据存储工程师 数据开发工程师 高级软件工程师,深圳,20000-25000,本科,民营
627,20%,100-499,中国科学院软件研究所,1-3,06-02,数据系统工程师,北京,10000-20000,本科,国企
628,20%,100-499,龙源创新数字传媒(北京)股份有限公司,1-3,06-02,C#数据采集开发工程师（R0012）,北京,10001-15000,不限,民营
629,20%,100-499,深圳市随手科技有限公司,3-5,06-02,Java开发工程师（抓取）,深圳,12000-24000,本科,民营
630,20%,20-99,深圳前海俊拓金融服务有限公司,3-5,06-02,数据挖掘分析师,深圳,15001-20000,大专,民营
631,20%,100-499,湖南艾瓦特网络科技有限公司,1-3,06-02,Python 开发工程师,长沙,10000-15000,本科,民营
632,20%,10000,慧科讯业(北京)网络科技有限公司深圳分公司,3-5,06-02,高级Java工程师-深圳-RN0001,深圳,15001-20000,本科,外商独资
633,20%,20,云量科技(北京)有限责任公司,3-5,06-01,Python开发工程师,北京,10001-15000,本科,其它
634,20%,10000,百度在线网络技术(北京)有限公司 ,3-5,06-01,百度营销研究院_研究经理（投放营销方向）,北京,15001-20000,本科,上市公司
635,20%,20-99,贵阳中科点击科技有限公司,3-5,06-01,大数据研发工程师JAVA方向,贵阳,4001-6000,不限,股份制企业
636,20%,20-99,贵阳中科点击科技有限公司,3-5,06-01,大数据研发工程师Python方向,贵阳,4001-6000,不限,股份制企业
637,20%,100-499,深圳前海百丰投资咨询有限公司,5-10,06-01,JAVA工程师,深圳,12000-15000,大专,民营
638,20%,100-499,广东亿生康医药连锁有限公司,1-3,06-01,Python程序员,广州,10001-15000,大专,民营
639,20%,20-99,北京十星宝电子商务有限公司中山分公司,3-5,06-01,JAVA工程师,中山,10001-15000,大专,股份制企业
640,20%,100-499,广州英迈化妆品有限公司,3-5,06-01,运营助理,广州,6001-8000,不限,民营
641,88%,20-99,武汉邻盛智能设备有限公司,3-5,06-01,python开发工程师,武汉,6000-8000,不限,民营
642,20%,100-499,北京奇酷方舟信息技术有限公司郑州分公司,3-5,06-01,Python数据工程师/程序员【零基础 带薪实习】,郑州,6001-8000,大专,民营
643,72%,100-499,上海阅客信息科技有限公司,3-5,06-01,Java后端开发工程师（成都）,成都,10000-20000,本科,其它
644,20%,20-99,北京华星成汇文化发展有限公司,3-5,06-01,高级JAVA开发工程师,北京,15001-20000,本科,民营
645,20%,100-499,中圣明达控股有限公司,1-3,06-01,资深Java工程师,北京,10000-20000,本科,民营
646,20%,20-99,北京瑞达通圣科技有限公司,5-10,06-01,资深java工程师,北京,15000-25000,本科,民营
647,64%,100-499,河南智游臻龙教育科技有限公司,1-3,06-01,Python开发工程师,郑州,8000-12000,不限,民营
648,20%,20-99,深圳市莫宁顿国际货运代理有限公司,1-3,06-01,网络推广专员,深圳,4001-6000,中技,股份制企业
649,20%,20-99,北京瑞达通圣科技有限公司,5-10,06-01,JAVA研发主管,北京,15000-25000,本科,民营
650,20%,20-99,烽鸟出行科技(北京)有限公司,3-5,06-01,Python工程师,北京,15001-20000,本科,股份制企业
651,20%,100-499,成都数联铭品科技有限公司,,06-01,大数据采集工程师,贵阳,1000-2000,大专,民营
652,20%,20-99,上海政凯锐驰网络科技有限公司,3-5,06-01,高级Java工程师,上海,13000-25000,本科,民营
653,20%,20-99,河南泽阳实业有限公司,1-3,06-01,高级JAVA开发工程师,郑州,6001-8000,大专,民营
654,20%,100-499,分之合经营管理咨询有限公司北京办事处,1-3,06-01,高级SEO专员,北京,7500-10000,大专,民营
655,20%,20-99,深圳金渠供应链有限公司,3-5,06-01,数据分析师,深圳,10000-20000,大专,民营
656,20%,20-99,临沂云商之家电子商务有限公司,1-3,06-01,SEO优化与推广,临沂,4001-6000,大专,民营
657,20%,20-99,北京芸投数据技术有限公司,3-5,05-31,数据挖掘工程师,北京,20001-30000,本科,其它
658,100%,20-99,大连金力得科技发展有限公司,1-3,05-31,运营数据分析,大连,4001-6000,本科,民营
659,20%,1000-9999,上海拍分乐网络科技有限公司,5-10,05-31,高级开发工程师（Java）,上海,20001-30000,本科,其它
660,20%,100-499,中译语通科技(北京)有限公司,3-5,05-31,数据处理工程师,北京,10000-20000,本科,国企
661,20%,100-499,中译语通科技(北京)有限公司,1-3,05-31,基础算法工程师,北京,15000-25000,硕士,国企
662,20%,20-99,中联中环教育科技(北京)有限公司,1-3,05-31,数据抓取工程师,北京,8000-12000,本科,股份制企业
663,20%,20-99,北京阿博茨科技有限公司,3-5,05-31,搜索开发工程师,武汉,15000-25000,本科,民营
664,20%,100-499,北京橘梦科技有限公司,,05-31,大数据抓取实习生,北京,3000-5000,本科,民营
665,50%,500-999,哈尔滨创优才智科技有限公司,,05-31,网页抓取实习工程师（五险+应届生亦可）,哈尔滨,4001-6000,中专,合资
666,56%,1000-9999,上海三思科技发展有限公司,3-5,05-31,Python工程师,上海,8000-15000,本科,民营
667,20%,20-99,四川神琥科技有限公司,3-5,05-31,Python高级开发,成都,5000-10000,本科,民营
668,20%,20-99,深圳市百诺信科技有限公司,3-5,05-31,Python高级开发工程师,深圳,15001-20000,大专,民营
669,20%,10000,亚信科技(中国)有限公司,5-10,05-31,高级分析系统架构师,北京,20000-30000,本科,上市公司
670,20%,100-499,江苏志愿无忧教育咨询有限公司,1-3,05-31,数据工程师,南京,6001-8000,本科,民营
672,20%,20-99,天津明大华中企业孵化器有限公司,1-3,05-31,数据采集工程师（急招！）,天津,6000-10000,本科,民营
673,100%,1000-9999,深圳瑞银信信息技术有限公司北京分公司,5-10,05-31,风险计量主管,北京,30000-60000,本科,民营
674,87%,500-999,西安动力无限信息技术有限公司,,05-31,网络优化、seo推广,西安,4001-6000,大专,上市公司
675,83%,20-99,深圳市亿鼎达科技有限公司,1-3,05-31,C#软件工程师/软件开发工程师,深圳,10001-15000,大专,其它
676,20%,100-499,北京精真估信息技术有限公司,3-5,05-31,.Net开发工程师（价值研究部）,北京,15001-20000,大专,合资
677,20%,100-499,北京精真估信息技术有限公司,3-5,05-31,.NET研发工程师,北京,15001-20000,不限,合资
678,20%,1000-9999,璇玑智能(北京)科技有限公司,3-5,05-31,数据平台产品经理,北京,20001-30000,大专,外商独资
679,20%,100-499,中集采电子商务(北京)有限公司,3-5,05-31,数据采集工程师,北京,8001-10000,本科,合资
680,20%,100-499,中集采电子商务(北京)有限公司,3-5,05-31,数据采集专员,北京,4001-6000,本科,合资
681,20%,1000-9999,上海沪杰保安服务有限公司,3-5,05-31,SEO优化主管,上海,8001-10000,大专,民营
682,20%,100-499,成都尚书坊教育投资管理有限公司,1-3,05-31,SEO/网站优化,成都,4001-6000,大专,民营
683,73%,20-99,青岛蓝色海洋大数据科技有限公司,1-3,05-31,数据采集清洗工程师,青岛,6001-8000,本科,民营
684,68%,500-999,临沂连科环保科技有限公司,1-3,05-31,seo推广经理,临沂,6001-8000,大专,股份制企业
685,20%,20,南京维哈拉信息技术有限公司,1-3,05-31,高级研发工程师,南京,8000-10000,本科,民营
686,20%,20,北京雅正创意品牌科技有限公司,,05-31,SEO/SEN,北京,4001-6000,高中,民营
687,100%,100-499,北京奇酷方舟信息技术有限公司,,05-30,Python数据爬取/数据挖掘【可无经验 提供住宿】,郑州,6001-8000,大专,民营
688,20%,1000-9999,北京传智播客教育科技有限公司,5-10,05-29,JavaEE讲师,北京,20001-30000,不限,民营
689,20%,20-99,北京企名片科技有限公司,3-5,05-28,ios开发工程师,北京,15001-20000,本科,民营
690,80%,100-499,成都思睿地产顾问有限公司,3-5,05-27,全栈工程师,成都,10001-15000,本科,股份制企业
691,20%,100-499,成都思睿地产顾问有限公司,3-5,05-27,高级php开发工程师,成都,10001-15000,本科,股份制企业
692,95%,20-99,杭州介子网络有限公司,3-5,05-27,高级java工程师,杭州,10001-15000,不限,民营
693,94%,20-99,杭州介子网络有限公司,5-10,05-27,资深java后台开发,杭州,15001-20000,不限,民营
694,20%,20,上海原数民数字科技有限公司,5-10,05-27,后端工程师,上海,20001-30000,本科,民营
695,20%,1000-9999,北京嘀嘀无限科技发展有限公司 ,5-10,05-27,行业数据挖掘专家-平台运营(J170526072),北京,25000-35000,不限,外商独资
696,20%,20-99,深圳市创果科技有限公司,5-10,05-27,开发工程师 / 实习工程师,深圳,4001-6000,大专,民营
697,20%,1000-9999,浙江核新同花顺网络信息股份有限公司,,05-27,安卓实习生（面向18届同学）,杭州,3000-5000,不限,股份制企业
698,100%,20-99,脉讯在线北京信息技术有限公司烟台分公司,1-3,05-27,python工程师,烟台,5000-8000,本科,其它
699,20%,20-99,无锡市人力资源市场,1-3,05-27,软件开发工程师（数据挖掘方向）-国联证券-高端会,无锡,6001-8000,本科,事业单位
700,82%,20-99,乐飞天下信息技术(北京)有限公司,1-3,05-27,python开发工程师,北京,10001-15000,不限,民营
701,68%,20-99,乐飞天下信息技术(北京)有限公司,3-5,05-27,Python开发工程师,北京,15001-20000,大专,民营
702,20%,100-499,上海好体信息科技有限公司,1-3,05-27,高级Python开发工程师,上海,15001-20000,本科,民营
703,20%,20-99,深圳市伊斯凯普电子有限公司,1-3,05-27,网站SEO优化工程师,深圳,4001-6000,大专,民营
704,93%,100-499,互联网佳(北京)信息服务有限公司,1-3,05-27,java开发工程师可限初级,北京,6001-8000,不限,民营
705,20%,20-99,北京汇文利加文化传播有限公司,1-3,05-27,Java Web讲师,北京,15000-20000,不限,民营
706,20%,100-499,无锡智慧城市建设发展有限公司,1-3,05-27,大数据开发工程师,无锡,8001-10000,本科,股份制企业
707,100%,100-499,北京奇酷方舟信息技术有限公司郑州分公司,1-3,05-27,Python大数据开发/人工智能【应届生 带薪实习】,郑州,6001-8000,大专,民营
708,80%,100-499,深圳狗尾草智能科技有限公司,1-3,05-27,高级Python开发工程师,深圳,10000-20000,本科,民营
709,67%,100-499,深圳狗尾草智能科技有限公司,1-3,05-27,高级Python开发工程师,上海,10000-20000,本科,民营
710,20%,100-499,北京达士通信息技术有限公司,3-5,05-27,Java开发工程师,石家庄,8000-12000,大专,股份制企业
711,100%,100-499,北京奇酷方舟信息技术有限公司郑州分公司,3-5,05-27,Python软件开发/程序员【零基础 带薪年假】,郑州,6001-8000,大专,民营
712,63%,500-999,哈尔滨工大特种机器人有限公司北京分公司,3-5,05-27,市场分析师,北京,6000-7000,本科,国企
713,59%,500-999,盐城优易数据有限公司,3-5,05-27,数据工程师,盐城,6001-8000,不限,国企
714,20%,20-99,玖桔(北京)教育科技有限公司西安办事处,3-5,05-27,原创 写作人员,西安,4000-8000,不限,股份制企业
715,20%,20-99,苏州星科元信息科技有限公司,3-5,05-27,数据管理  双休  五险一金,苏州,4001-6000,不限,民营
716,100%,20-99,江苏泰赋星通信技术有限公司,3-5,05-27,web前端(前后都会者优先),南京,7000-14000,大专,民营
717,20%,10000,阿里巴巴集团,3-5,05-27,高德-离线架构资深研发工程师,北京,面议,,合资
718,100%,20-99,"苏州,网络科技有限公司",3-5,05-27,微信小程序业务代表,昆山,8001-10000,大专,民营
719,20%,20-99,"苏州,网络科技有限公司",3-5,05-27,seo优化专员,昆山,4001-6000,不限,民营
720,20%,20-99,"苏州,网络科技有限公司",3-5,05-27,微信小程序电话顾问,昆山,4001-6000,不限,民营
721,76%,100-499,深圳狗尾草智能科技有限公司,3-5,05-27,高级Python开发工程师,深圳,15000-25000,不限,民营
722,20%,10000,阿里巴巴集团,3-5,05-27,闲鱼拍卖大众拍-资深Java开发工程师,杭州,面议,,合资
723,20%,20-99,北京中复康养老服务股份有限公司,5-10,05-27,高级java工程师,北京,18000-30000,本科,股份制企业
724,100%,100-499,广州市古哩古哩电子商务有限公司,3-5,05-27,网络数据采集开发员,广州,10001-15000,本科,其它
725,92%,1000-9999,深圳瑞银信信息技术有限公司北京分公司,3-5,05-27,数据处理,北京,15000-30000,本科,民营
726,20%,20-99,河北荣森新能源科技有限公司,3-5,05-27,SEM SEO引擎优化,石家庄,2500-5000,不限,股份制企业
727,20%,20-99,广州华优网络科技有限公司,,05-27,Android APP开发工程师 Java开发工程师,广州,2001-4000,不限,民营
728,66%,1000-9999,游族网络,1-3,05-27,数据开发工程师,北京,12000-18000,不限,上市公司
729,64%,100-499,四川锦程消费金融有限责任公司,1-3,05-27,数据收集岗,成都,6001-8000,本科,合资
730,20%,100-499,上海睿资达企业管理咨询有限公司,3-5,05-27,高级java开发,上海,25000-45000,本科,民营
731,20%,100-499,江苏网谱数据服务有限公司,3-5,05-27,Java开发工程师,南京,10001-15000,大专,民营
733,20%,20,济南牧石皮具有限公司,,05-27,SEO网站优化，8500，双休，五险一金，午餐补助，年底双薪,济南,8001-10000,不限,民营
734,20%,20-99,上海领程商务信息咨询有限公司,,05-27,Java开发工程师,上海,15000-30000,本科,民营
735,20%,1000-9999,上海科技大学,,05-27,研究助理（创业与管理学院洪苏婷研究组）,上海,10001-15000,硕士,事业单位
736,20%,100-499,上海签宝网络科技有限公司,3-5,05-27,高级流量运营经理,上海,15001-20000,本科,民营
737,20%,100-499,上海华侨因私出入境服务有限公司,3-5,05-27,高级流量运营经理,上海,15001-20000,本科,民营
738,93%,500-999,招联消费金融有限公司,1-3,05-27,大数据开发工程师,深圳,15001-20000,本科,其它
739,20%,100-499,南京森根科技发展有限公司,5-10,05-27,大数据构架师,南京,15000-30000,本科,民营
740,20%,20-99,北京企名片科技有限公司,1-3,05-27,ui设计师,北京,8001-10000,本科,民营
741,20%,100-499,北京嘉配科技有限公司,3-5,05-27,数据采集工程师,武汉,4000-8000,本科,股份制企业
742,20%,20-99,"苏州,网络科技有限公司",3-5,05-27,微信小程序客服助理,昆山,4001-6000,大专,民营
743,20%,1000-9999,亚联财小额贷款,3-5,05-27,大数据工程师,深圳,10000-20000,不限,合资
744,100%,20-99,"苏州,网络科技有限公司",3-5,05-27,储备干部,昆山,8001-10000,大专,民营
745,100%,20-99,万标电子科技有限公司,1-3,05-27,ASO,深圳,15000-30000,大专,民营
746,20%,100-499,北京知达客信息技术有限公司,5-10,05-27,S-数据采集经理,北京,10001-15000,本科,民营
747,20%,100-499,上海晶汉信息科技有限公司,3-5,05-27,SEM/SEO专员（3-5年）,上海,4001-6000,大专,民营
748,100%,100-499,广州艾美网络科技有限公司,3-5,05-27,Python高级开发工程师,广州,10001-15000,本科,民营
